Project,CurrencyLinks,Starts in,Sale info
AsciiMonkey,Solana,https://twitter.com/ascii_punk,"5/7/2022, 10:00:00 AM",Sale: 0.05 SOL
SpaceCows Utility NFT,Ethereum,https://twitter.com/SpaceCowsIO,"5/7/2022, 12:00:00 PM",Pre-sale: 0.10 ETH
Mini Lands Official,Solana,https://twitter.com/Minlandofficial,"5/7/2022, 12:00:00 PM",Sale: 0.3 SOL
Cryptocity,Ethereum,https://twitter.com/off_CryptoCity,"5/7/2022, 2:00:00 PM",Sale: 0.1 ETH
Royal Panther Empire,Solana,https://twitter.com/royalpantheremp,"5/7/2022, 2:35:00 PM",Sale: 1.5 SOL
Lucky Numbers,Solana,https://twitter.com/saladcatcoin,"5/7/2022, 3:00:00 PM",Sale: 1.5 SOL
Boo Things,Boo Things,https://twitter.com/BooThingsNFT,"5/7/2022, 4:00:00 PM",Sale: 20 MATIC
PhantoMoly Krakheadz,Solana,https://twitter.com/PhantoMolyKDS,"5/7/2022, 4:00:00 PM",Sale: 1.5 SOL
SADBOYSCLUB,Ethereum,https://twitter.com/sadboysclubNFT,"5/7/2022, 4:00:00 PM",Pre-sale: 0.04 ETH
Ric Rac Equestrian Club,Ethereum,https://twitter.com/ricracclub,"5/7/2022, 5:00:00 PM",Sale: 0.069 ETH
Urban Legends,Solana,https://twitter.com/UrbanLegendsNFT,"5/7/2022, 5:00:00 PM",Sale: 2.0 SOL
Detown Crops,Solana,https://twitter.com/detown_io,"5/7/2022, 5:00:00 PM",Sale: 0.5 SOL
The Weedez Club,Ethereum,https://twitter.com/TheWeedez,"5/7/2022, 6:00:00 PM",Sale: 0.05 ETH
Kongz Dynasty,Solana,https://twitter.com/KongzDynasty,"5/7/2022, 6:30:00 PM",Sale: 0.25 SOL
The Crypto Cap Collection,Ethereum,https://twitter.com/digi_caps,"5/7/2022, 7:00:00 PM",Sale: 0.03 ETH
Sol Ball Pool,Solana,https://twitter.com/SolBallPool,"5/7/2022, 8:00:00 PM",Pre-sale: 0.88 SOL
The Alphines,Solana,https://twitter.com/Alpha_Gorillas,"5/7/2022, 8:00:00 PM",Sale: 1.25 SOL
DragonBorns,Solana,https://twitter.com/EhecatlUniverse,"5/7/2022, 10:00:00 PM",Sale: 1 SOL
SOLFUL,Solana,https://twitter.com/SolfulNFT,"5/8/2022, 12:00:00 AM",Sale: 1 SOL
Sniper Cove,Solana,https://twitter.com/SniperCove,"5/8/2022, 8:00:00 AM",Sale: 0.4 SOL
Ksekai,Ethereum,https://twitter.com/ksekainft,"5/8/2022, 8:00:00 AM",Pre-sale: 0.04 ETH
First Ever NFT Soccer Team,Ethereum,https://twitter.com/firstevernft,"5/8/2022, 10:00:00 AM",Sale: 0.04 ETH
TheBloxPrimeNFT,Ethereum,https://twitter.com/TheBloxPrimeNFT,"5/8/2022, 11:00:00 AM",Sale: 0.048 ETH
Black to the world,Black to the world,https://twitter.com/fosac_art,"5/8/2022, 12:00:00 PM",Sale: 0.1 MATIC
Rigel Protocol,Rigel Protocol,https://twitter.com/rigelprotocol,"5/8/2022, 12:00:00 PM",Sale: 150 USDT
The Cryptomasks Project,Ethereum,https://twitter.com/TheCryptomasks,"5/8/2022, 1:00:00 PM",Sale: 0.03 ETH
Big 3 Ownership,Ethereum,https://twitter.com/big3ownership,"5/8/2022, 3:00:00 PM",Sale: 1.75 ETH
Hanooman NFTrvl,Solana,https://twitter.com/nftrvl,"5/8/2022, 4:00:00 PM",Sale: 1.78 SOL
MetaRobotica,Solana,https://twitter.com/metarobotica,"5/8/2022, 4:00:00 PM",Sale: 0.9 SOL
Zales II,Ethereum,https://twitter.com/ZalesNFT,"5/8/2022, 5:00:00 PM",Sale: 0.035 ETH
Stone Zillas,Solana,https://twitter.com/dragonzillas,"5/8/2022, 6:00:00 PM",Pre-sale: 0.3 SOL
Lost Baby Ape,Solana,https://twitter.com/lostbabyape,"5/8/2022, 9:00:00 PM",Sale: 0.8 SOL
Bullish Broker Club,Solana,https://twitter.com/BBrokerClub,"5/8/2022, 9:00:00 PM",Sale: 1.65 SOL
SixthRéseau,Ethereum,https://twitter.com/sixthreseau,"5/8/2022, 10:00:00 PM",Pre-sale: 0.15 ETH
Thicc Frens,Ethereum,https://twitter.com/Thiccfrens,"5/8/2022, 10:00:00 PM",Sale: 0.042 ETH
TRex Sapiens Order,Ethereum,https://twitter.com/TrexSapiensOrd,"5/9/2022, 12:00:00 AM",Sale: 0.059 ETH
The Martian Mansion,Ethereum,https://twitter.com/MMansionnft,"5/9/2022, 4:00:00 AM",Sale: 0.03 ETH
Metapugs,Ethereum,https://twitter.com/metapugsnft,"5/9/2022, 6:00:00 AM",Sale: 0.065 ETH
Baby VHAPES,Solana,https://twitter.com/vhapeclub,"5/9/2022, 10:30:00 AM",Sale: 1 SOL
Cosmic Voyagers Collective,Ethereum,https://twitter.com/CVC_NFT,"5/9/2022, 12:00:00 PM",Pre-sale: 0.05 ETH
Pharagods,Ethereum,https://twitter.com/pharagods,"5/9/2022, 3:00:00 PM",Sale: 0.2 ETH
AGE of SAM,Solana,https://twitter.com/ageofsamnft,"5/9/2022, 3:00:00 PM",Pre-sale: 1.75 SOL
Loose Moose Crew Founder's Pass,Solana,https://twitter.com/LooseMooseCrew,"5/9/2022, 8:00:00 PM",Sale: 1 SOL
Fury Bandits,Ethereum,https://twitter.com/FuryBandits,"5/10/2022, 12:00:00 AM",Sale: 0.05 ETH
Loonbirds,Ethereum,https://twitter.com/loonbirds_xyz,"5/10/2022, 8:00:00 AM",Pre-sale: 0.08 ETH
