Project,CurrencyLinks,Starts in,Sale info
The Crypto Cap Collection,Ethereum,https://twitter.com/digi_caps,"6/24/2022, 9:00:00 AM",Sale: 0.02 ETH
Heavenland Alphas,Solana,https://twitter.com/heavenland_io,"6/24/2022, 2:00:00 PM",Sale: 1.25 SOL
EraMeta DAO,Solana,https://twitter.com/EraMetaDAO,"6/24/2022, 3:00:00 PM",Sale: 3 SOL
Beach Boy Club,Solana,https://twitter.com/beachboyclubnft,"6/24/2022, 3:30:00 PM",Sale: 3.0 SOL
Degen Bounty Hunter GEN 1,Solana,https://twitter.com/DegenHunterSOL,"6/24/2022, 6:00:00 PM",Sale: 2 SOL
Dead Wolves,Solana,https://twitter.com/deadwolvesnft,"6/24/2022, 6:00:00 PM",Pre-sale: 1.5 SOL
Meta Mice Underground,Ethereum,https://twitter.com/MetaMiceUG,"6/24/2022, 6:00:00 PM",Sale: 0.025 ETH
Sup Dawgs NFT,Ethereum,https://twitter.com/SupDawgsNFT/,"6/24/2022, 6:00:00 PM",Sale: 0.05 ETH
Clyde,Solana,https://twitter.com/ClydeNFT_,"6/24/2022, 7:30:00 PM",Sale: 2 SOL
DrippoSaurs Gang,Ethereum,https://twitter.com/DrippoSaursGang,"6/24/2022, 8:00:00 PM",Sale: 0.1 ETH
Zombie Whales,Solana,https://twitter.com/ZombieWhales,"6/24/2022, 8:00:00 PM",Pre-sale: 0.089 SOL
The Pilgrim,Solana,https://twitter.com/ThePilgrimsNFT,"6/25/2022, 2:00:00 AM",Sale: 3.43 SOL
Cool Meteors NFT,Ethereum,https://twitter.com/CoolMeteorsNFT,"6/25/2022, 10:00:00 AM",Sale: 0.015 ETH
Sol Cream,Solana,https://twitter.com/solcreamnft,"6/25/2022, 10:00:00 AM",Sale: 0.059 SOL
CarnivoreZ NFT,Ethereum,https://twitter.com/carnivoreznft,"6/25/2022, 2:00:00 PM",Sale: 0.15 ETH
Melaxy Game,Ethereum,https://twitter.com/melaxygame,"6/25/2022, 4:00:00 PM",Sale: 0.15ETH
HummingbirdX Ruby,Ethereum,https://twitter.com/HummingbirdXnft,"6/25/2022, 6:00:00 PM",Pre-sale: 0 ETH
Sluggish Koalas,Solana,https://twitter.com/SluggishKoalas,"6/25/2022, 7:00:00 PM",Pre-sale: 1.25 SOL
SMAMKO DAO,Solana,https://twitter.com/SmamkoDAO,"6/25/2022, 7:30:00 PM",Sale: 0.19 SOL
Tactus NFT (Toxic Cactus),Ethereum,https://twitter.com/TactusNFT,"6/25/2022, 8:00:00 PM",Pre-sale: Free Mint
Bigfoot Town,Solana,https://twitter.com/BigfootTownNFT,"6/25/2022, 8:00:00 PM",Sale: 1.55 SOL
Okay Bear Cubs,Ethereum,https://twitter.com/Okay_Bear_Cubs,"6/25/2022, 9:00:00 PM",Pre-sale: FREE
Daosaur,Ethereum,https://twitter.com/DaosaurNFT,"6/26/2022, 4:00:00 PM",Sale: 0.08 ETH
Dragon Fam,Ethereum,https://twitter.com/DragonFamNFT,"6/26/2022, 4:00:00 PM",Pre-sale: 0.0275 ETH
Kaiju Legends NFT,Ethereum,https://www.twitter.com/KaijuLegendsNFT,"6/26/2022, 4:00:00 PM",Pre-sale: 0.15 ETH
Funny Dwarf,Solana,https://twitter.com/funny_dwarf_,"6/26/2022, 5:00:00 PM",Pre-sale: 0.1 SOL
Cybernetic Antiheroes,Solana,https://twitter.com/CyberAntiheroes,"6/26/2022, 5:00:00 PM",Sale: 3.0 SOL
Magos,Solana,https://twitter.com/MagosNFT,"6/26/2022, 6:00:00 PM",Sale: 1.5 SOL
G-OLDMAN NFT COLLECTION,Ethereum,https://twitter.com/G_OLDMANNFT,"6/26/2022, 6:00:00 PM",Sale: 0.25 ETH
SUKON,Solana,https://twitter.com/SukonNFT,"6/26/2022, 6:15:00 PM",Sale: 1.5 SOL
Goofy The Goat NFT,Solana,https://twitter.com/GoofyTheGoatNFT,"6/26/2022, 8:00:00 PM",Sale: 2.0 SOL
JUST MEOWZ,Ethereum,https://twitter.com/meowzteam,"6/27/2022, 6:00:00 AM",Pre-sale: 0.02 ETH
FATTIES ,Ethereum,https://twitter.com/FattiesNFT,"6/27/2022, 9:00:00 AM",Pre-sale: 0.01 ETH
Asset Bender NFT ,Solana,https://twitter.com/AssetBenderNFT,"6/27/2022, 5:00:00 PM",Pre-sale: 2 SOL
Goblin Game,Solana,https://twitter.com/Goblindotgame,"6/27/2022, 7:00:00 PM",Pre-sale: 0.75 SOL
Elite Music Club,Ethereum,https://twitter.com/EliteMusicClub,"6/27/2022, 7:00:00 PM",Sale: 0.1 / 0.12 ETH
Solana Bored Yacht Club,Solana,https://twitter.com/SolBoredYacht,"6/27/2022, 8:00:00 PM",Sale: 2.0 SOL
Cardano Lands,Cardano Lands,https://twitter.com/cardanolands,"6/28/2022, 12:00:00 AM",Sale: 0.02 ADA
Nice Kids,Ethereum,https://twitter.com/nicekidsNFT,"6/28/2022, 10:00:00 AM",Sale: 0.14 ETH
Moon Strike,Ethereum,https://twitter.com/moonstrikenft,"6/28/2022, 12:00:00 PM",Sale: 0.15 ETH
Illuminati Owls,Ethereum,https://twitter.com/illowlsVIP,"6/28/2022, 1:00:00 PM",Pre-sale: 0.05 ETH
Ape Souls,Solana,https://twitter.com/CiCKartworks,"6/28/2022, 3:00:00 PM",Pre-sale: 0.1 SOL
MUSIX Master Key,Ethereum,https://twitter.com/MUSICOLOGY_io,"6/28/2022, 7:00:00 PM",Sale: 0.0369 ETH
Fairy Fiends,Ethereum,https://twitter.com/FairyFiends,"6/29/2022, 12:00:00 AM",Sale: 0.066 ETH
Cloneverse Lands sale,Ethereum,https://twitter.com/Cloneverse_NFT,"6/29/2022, 1:00:00 PM",Sale: 0.1 ETH
Mask Afraid,Ethereum,https://twitter.com/MaskAfraid,"6/29/2022, 4:00:00 PM",Sale: 0.04 ETH
STRaY Bears: Alien Mutation (M.A.S),Ethereum,https://twitter.com/straybearsnft,"6/29/2022, 6:00:00 PM",Sale: 0.05 ETH
Lost Pirates,Solana,https://twitter.com/LostPiratesNFT,"6/29/2022, 7:30:00 PM",Sale: 3 SOL
Gummi Bear Flavors,Solana,https://twitter.com/GummiBearsNFT,"6/29/2022, 8:00:00 PM",Sale: 1.5 SOL
The Parrot Boss,Ethereum,https://twitter.com/theparrotboss,"6/29/2022, 10:00:00 PM",Sale: 0.22 ETH
AwesomeMomNFT,Ethereum,https://twitter.com/AwesomeMomNFT,"6/30/2022, 12:00:00 AM",Sale: 0.05 ETH
BIG Monkeys NFT,Ethereum,https://twitter.com/BIGMONKEYSNFT,"6/30/2022, 12:00:00 AM",Pre-sale: 0.08 ETH
👑NeoEden's Realm👑,Ethereum,https://twitter.com/NeoEdensRealm,"6/30/2022, 8:00:00 AM",Sale: 0.0777 ETH
Bloomverse,Solana,https://twitter.com/play_Bloomverse,"6/30/2022, 12:00:00 PM",Sale: 3.0 SOL
Dr. Shank,Ethereum,https://twitter.com/ShankNFT,"6/30/2022, 12:00:00 PM",Sale: 0.099 ETH
IncubateX,IncubateX,https://twitter.com/massymace,"6/30/2022, 2:00:00 PM",Sale: 0.2 MATIC
"Zebra Republic, Inc - NFTs",Ethereum,https://twitter.com/Zebrarep,"6/30/2022, 3:00:00 PM",Sale: 0.05 ETH
MatthewRobotNFT,MatthewRobotNFT,https://twitter.com/matthewrobotnft,"6/30/2022, 3:00:00 PM",Pre-sale: 200 BUSD
Indie’s,Ethereum,https://twitter.com/Indi_Coin,"6/30/2022, 4:00:00 PM",Pre-sale: 0.055 ETH
FrogFunding,Ethereum,https://twitter.com/FrogFunding,"6/30/2022, 5:00:00 PM",Sale: 0.1 ETH
Mestro NFT,Solana,https://twitter.com/MestroNFT,"6/30/2022, 5:00:00 PM",Sale: 1 SOL
Solvillains,Solana,https://twitter.com/solvillains,"6/30/2022, 5:53:00 PM",Sale: 4.0 SOL
The Hatman NFT,Solana,https://twitter.com/thehatmannft,"6/30/2022, 6:00:00 PM",Sale: 4 SOL
Devour’s Industry Collection Restaurant Rewards NFT,Ethereum,https://twitter.com/DevourNFTS,"6/30/2022, 6:00:00 PM",Sale: 0.15 ETH
Scratch-off NFT World Cup ed,Solana,https://twitter.com/scratchoffNFT,"6/30/2022, 6:00:00 PM",Sale: 0.10 SOL
Dreams City,Dreams City,https://twitter.com/DreamsCityNft,"6/30/2022, 7:00:00 PM",Sale: 45 ADA
Degen Goblins,Solana,https://twitter.com/degen_goblins,"6/30/2022, 8:00:00 PM",Sale: 0.01 SOL
La Fuska,Solana,https://twitter.com/LaFuskaWarriors,"6/30/2022, 9:00:00 PM",Sale: 2 SOL
Rich Rhino Club,Ethereum,https://twitter.com/richrhinoclub,"6/30/2022, 9:00:00 PM",Pre-sale: 0.035 ETH
Turtle Island NFT,Solana,https://twitter.com/TurtleIslandNFT,"6/30/2022, 11:45:00 PM",Pre-sale: 1 SOL
Futugo Meta Icons,Futugo Meta Icons,https://twitter.com/Futugoapp,"7/1/2022, 12:00:00 AM",Sale: 320 MATIC
DOPE,Ethereum,https://twitter.com/DopeVoyage,"7/1/2022, 1:00:00 AM",Pre-sale: 0.1 ETH
Tomorrow's World NFT,Ethereum,https://twitter.com/TWorldNFT,"7/1/2022, 4:00:00 PM",Sale: 0.2 ETH
Werewolf Legends,Ethereum,https://twitter.com/LegendsWerewolf,"7/1/2022, 5:00:00 PM",Sale: 0.1 ETH
Cool Cats Mafia,Solana,https://twitter.com/CoolCatsMafia,"7/1/2022, 6:00:00 PM",Sale: 1 SOL
Shredded Sharks,Ethereum,https://mobile.twitter.com/ShreddedShark,"7/1/2022, 6:00:00 PM",Sale: 0.152992 ETH
BSC Name Service ,BSC Name Service ,https://twitter.com/ButterDomain,"7/1/2022, 8:00:00 PM",Sale: 30 USDT
Crypto Frogs,Solana,https://twitter.com/CryptoFrogs_NFT,"7/1/2022, 8:00:00 PM",Pre-sale: 0.50 SOL
Grumpy Bears,Solana,https://twitter.com/Grumpy_BearsNFT,"7/2/2022, 12:00:00 PM",Sale: 2.2 SOL
Millenabots,Solana,https://twitter.com/millenabots,"7/2/2022, 12:00:00 PM",Sale: 3 SOL
Miningverse NFT,Ethereum,https://twitter.com/MiningverseNFT,"7/2/2022, 3:00:00 PM",Sale: 0.25 ETH
Toysterz,Ethereum,https://twitter.com/wearetoysterz,"7/2/2022, 8:00:00 PM",Sale: 0.25 ETH
Vis Libertas,Solana,https://twitter.com/vislibertas,"7/3/2022, 4:00:00 PM",Sale: 2.0 SOL
OniGiri,Ethereum,https://twitter.com/onigirisnft,"7/3/2022, 5:00:00 PM",Sale: 0.1 ETH
Blocakes,Ethereum,https://twitter.com/BlocakesNFT,"7/5/2022, 4:00:00 PM",Sale: 0.07 ETH
KoiGuys,Ethereum,https://twitter.com/KoiGuysNFT,"7/5/2022, 5:00:00 PM",Pre-sale: 0.06 ETH
Sweet Apocalypse,Solana,https://twitter.com/sweetapocaIypse,"7/5/2022, 6:00:00 PM",Sale: 2 SOL
The Legend of Talkado,The Legend of Talkado,https://twitter.com/TalkadoNFT,"7/5/2022, 10:59:00 PM",Pre-sale: 0.25 BNB
Frontline Otters,Ethereum,https://twitter.com/frontlineotters,"7/6/2022, 1:00:00 AM",Sale: 0.08 ETH
The Metalodons Club,Ethereum,https://twitter.com/metalodons_club,"7/6/2022, 4:00:00 PM",Pre-sale: 0.04 ETH
MetaLions,Solana,https://twitter.com/metalionsio,"7/6/2022, 8:00:00 PM",Sale: 1.9 SOL
Chief Toad,Ethereum,https://twitter.com/ChiefToadNFT,"7/7/2022, 1:00:00 AM",Sale: 0.08 ETH
NXS,Solana,https://twitter.com/NXS_nft,"7/7/2022, 12:00:00 PM",Sale: 2 SOL
7LuX,Ethereum,https://twitter.com/7luxnft,"7/7/2022, 1:00:00 PM",Sale: 1 ETH
SOLPARK NFT,Solana,https://twitter.com/Solpark_nft,"7/7/2022, 6:20:00 PM",Pre-sale: 1 SOL
BadHabitsNFTSOL,Solana,https://twitter.com/BadHabitsNFTSOL,"7/8/2022, 6:00:00 PM",Sale: 2 SOL
DBAG,Ethereum,https://twitter.com/dbagnft,"7/8/2022, 11:00:00 PM",Sale: 0.15 ETH
Harpytownwtf,Ethereum,https://twitter.com/harpytownwtf,"7/9/2022, 9:00:00 PM",Pre-sale: FREE
